變項,係數,勝算比(OR),OR 95%CI下界,OR 95%CI上界,p值
雨天,-0.327,0.721,0.344,1.513,0.38723
週末,0.0099,1.01,0.575,1.775,0.97268
年齡(每+10歲),0.1913,1.211,1.047,1.401,0.01006
男性,0.8547,2.351,1.096,5.041,0.02812
速限(每+10km/h),0.2888,1.335,1.01,1.763,0.0421
時段_上午 (06:00-11:59),0.3189,1.376,0.794,2.384,0.25571
時段_夜晚 (18:00-23:59),-0.1838,0.832,0.409,1.694,0.61225
時段_清晨 (00:00-05:59),0.9892,2.689,1.13,6.396,0.02527
車種_其他,1.8253,6.205,2.067,18.627,0.00114
車種_大型車,1.8983,6.674,3.192,13.957,0.0
車種_小貨車,1.1825,3.263,1.434,7.42,0.00479
車種_慢車,0.3315,1.393,0.321,6.049,0.65812
車種_機車,0.1141,1.121,0.622,2.02,0.70397
